scaffold,cid
c1cnc2cc(OCc3cncc(-c4cn(C5CCCC5)c5cncnc45)c3)ccc2c1,[156304076]
c1ncc2ccn(C3CCC(CCc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,[156327153]
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1cnc2nc[nH]c2c1,[163239157]
c1cc2cc(-c3cn(Cc4ccc5cc(CNCC6CCC6)[nH]c5c4)cn3)cnc2[nH]1,[156442163]
c1cnn(-c2cn(C3CCC(COc4ccc5ccc(NC6CCC6)nc5c4)C3)c3ncncc23)c1,[166627847]
c1ncc2ccn(C3CCCO3)c2n1,"[171400800, 171400804]"
c1cnc2cc(OCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)cnc2c1,[164570051]
c1cc(-c2cn(Cc3cnc4cc(CNCC5CCC5)[nH]c4c3)nn2)c2cn[nH]c2c1,[156442234]
c1cnc2cc(CCC3CCC(n4cc(-c5cn[nH]c5)c5cncnc54)C3)ccc2c1,[166633126]
c1cc(N2CCNCC2)c2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,"[156304136, 156303947]"
c1cnc2cc(CCc3cncc(-n4cc(C5CCCO5)c5cncnc54)n3)ccc2c1,"[156304058, 156304055]"
c1cnc2cc(CCC3CCC(n4cc(C5CCCCC5)c5cncnc54)C3)ccc2c1,[166630828]
c1cc(N2CCC2)c2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,[156304140]
c1ccc2cc(CCC3CCC(n4ccc5cncnc54)C3)ccc2c1,"[156327113, 166633625]"
c1cc(-n2cc(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)nn2)c2cn[nH]c2c1,"[156461785, 156748982]"
c1cc(-c2cn(Cc3cc4[nH]c(CNCC5CCC5)cc4cn3)nn2)c2cn[nH]c2c1,[156442378]
O=C(c1ccc(OCc2cncc(-n3ccc4cncnc43)c2)cc1)N1CCNCC1,"[156304074, 156304162]"
O=C(NCc1ccc2cc(CNCC3CCC3)[nH]c2c1)c1cnc2[nH]ccc2c1,[156442185]
O=C(NCc1ccc2cc(CNC3CC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156748915, 156461820]"
c1ncc2ccn(C3CCC(CCc4ccc5ccc(N6CCCC6)nc5c4)O3)c2n1,[166625721]
c1cnc2cc(OCC3CCC(n4cc(C5CCCC5)c5cncnc54)O3)ccc2c1,"[156327794, 156327128, 166630025, 156327072, 156296130, 156327005, 156296084]"
c1cncc(-c2cn(Cc3ccc4cc(CNCC56CC(C5)C6)[nH]c4c3)nn2)c1,"[156461872, 156461856]"
c1cnc2cc(OCc3cncc(-n4cc(-c5ncco5)c5cncnc54)c3)ccc2c1,[156304118]
c1ncc2ccn(C3CCC(CCc4ccc5nc[nH]c5c4)C3)c2n1,[166630475]
O=C(NCC1CCCN(c2cc(NCc3ccccc3)ncn2)C1)c1ccc(CN2CCCCC2)cc1,[154815692]
O=C(NCc1ccc2cc(CNCC3CCC3)[nH]c2n1)c1cc(=O)n2ccccc2n1,[156461681]
c1cnc2cc(OCc3cncc(-c4c[nH]c5cncnc45)c3)ccc2c1,"[166039025, 156304089, 156296234, 156304139]"
O=C(Cc1cccc(N2CCC2)n1)NCc1cncc(-n2cc(-c3cc[nH]n3)c3cncnc32)c1,[156304129]
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1cnc2[nH]ccc2c1,"[163239067, 163239138, 163239186]"
c1ncc2ccn(C3CCC(COc4ccc5ccc(N6CCCC6)nc5c4)C3)c2n1,[166627210]
c1cc(COc2ccc3ccc(N4CCCC4)nc3c2)cc(-n2ccc3cncnc32)c1,[156303972]
c1cnc2cc(CCC3CCC(n4ccc5cncnc54)C3)cnc2c1,[166628365]
c1cnc2cc(OCC3CCC(n4cc(-c5c[nH]cn5)c5cncnc54)O3)ccc2c1,"[166632188, 156327045, 156327117]"
O=C1NC2(CCN(c3ccncn3)CC2)CN1c1ccc(CN2CCCCC2)cc1,[156596352]
c1cncc(-c2cn(Cc3cn4cc(CN5CCCCC5)ccc4n3)nn2)c1,[163239191]
c1cnc2cc(OCC3CCC(n4cc(-n5cccn5)c5cncnc54)O3)ccc2c1,[156327012]
C(=CC1CCC(n2ccc3cncnc32)O1)CCCNCC12CC(C1)C2,"[163239232, 163239314, 163239224, 163239299, 163239245]"
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(CCc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,[156304097]
c1ncc2c(C3=NCCO3)cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,[166635480]
c1ncc2ccn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,"[166625726, 156326986, 156327040, 166633196, 156327157, 166634009, 166636520]"
O=C(NCc1ccc2cc[nH]c2c1)c1cnc2[nH]ccc2c1,[156442187]
O=C(NCc1ccc2cc(CN3CCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156748906, 156461629, 156461804, 156461724, 156461725, 156461645, 156461642, 156461660, 156461657, 156461661, 156461659, 156461627, 156461956, 156748909]"
c1ccc(CCC2CCC(n3ccc4cncnc43)C2)nc1,"[166626144, 166628131]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(CCc4ccc5ccc(N6CCC6)nc5c4)C3)c2n1,"[156296142, 156327140]"
O=C(NCc1ccc2cc(CNCC3CC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461961, 156442197, 156461948, 156461635]"
c1cc(-c2cn(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)cn2)c2cn[nH]c2c1,[156461697]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(CCc4ccc5cnc(N6CCC6)nc5c4)O3)c2n1,[166636463]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5nc[nH]c5c4)O3)c2n1,"[156326964, 156327008]"
O=C(NCc1ccc2cc(CNC3CC34CCC4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461651]
O=c1[nH]c2ccc(CCC3CCC(n4ccc5cncnc54)C3)cc2[nH]1,[156327099]
C(=CC1CCC(n2ccc3cncnc32)O1)CCCNCc1ccccc1,[163239304]
c1cnc2cc(OCc3ncc(-n4ccc5cncnc54)s3)ccc2c1,[166632950]
c1coc(-c2cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c3ncncc23)n1,"[156327034, 156327156]"
c1cc(-c2cn(Cc3cn4cc(CNCC5CCC5)ccc4n3)nn2)c2[nH]ncc2c1,[163239190]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(CSc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,[156304025]
C(=CC1CCC(n2ccc3cncnc32)O1)C1COC1,[163239238]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc(CN5CCOCC5)cc4)c3)c2n1,[156304156]
c1ccc2c(-c3cn(Cc4cn5cc(CNCC6CCC6)ccc5n4)nn3)cncc2c1,[155167890]
c1cc2cc(-c3cn(Cc4ccc5cc(CNCC6CCC6)[nH]c5c4)nn3)cnc2[nH]1,[156442372]
c1cnc2ccc(CCC3CCC(n4ccc5cncnc54)C3)cc2c1,"[166625929, 156327810, 166630560, 166635028]"
c1ccc(OCc2cncc(-n3cc(-c4cc[nH]n4)c4cncnc43)c2)cc1,"[156304059, 156304167, 156304163]"
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1cccn2cncc12,[163239121]
c1cnc2cc(CCc3cncc(-n4cc(C5CCCC5)c5cncnc54)c3)ccc2c1,[156304034]
O=C(NCc1ccc2nc(CNCC3CCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156442178]
c1cnc2cc(CCc3cncc(-n4cc(C5CCCO5)c5cncnc54)c3)ccc2c1,"[156304031, 156304092, 166635474, 156304032]"
O=C1COCCN1c1ccc2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2n1,[156304151]
c1ccc(OCc2cncc(-n3ccc4cncnc43)c2)cc1,"[156304154, 156304169]"
O=C(c1ccc(OCc2cncc(-n3cc(-c4cc[nH]n4)c4cncnc43)c2)cc1)N1CCNCC1,[156304166]
O=c1cc[nH]c2cc(OCc3cncc(-n4ccc5cncnc54)c3)ccc12,[156303991]
c1ccc(COc2ccnc3cc(CCC4CCC(n5ccc6cncnc65)C4)ccc23)cc1,[166635216]
O=C1CN(c2ccc(CN3CCCCC3)cc2)CC2(CCN(c3ccncn3)CC2)N1,"[166627134, 156587345, 156596355, 156596353, 156587344, 156596351]"
c1cc(-c2cn(Cc3ccc4cc(CNC5CC5)[nH]c4c3)nn2)c2cn[nH]c2c1,[156442159]
c1ncc2c(C3CCCC3)cn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,"[156303937, 156304007, 156304019]"
O=C1CN(c2ccc(CN3CCCCC3)cc2)CC2(CCN(c3ncnc4[nH]ccc34)CC2)N1,"[156596356, 156596354]"
c1cnc2cc(OCc3cncc(-n4cc(C5CCCC5)c5cncnc54)c3)ccc2c1,"[166039044, 156304108, 156304100]"
O=C(NCc1ccc2cc(CNCC34CC(C3)C4)[nH]c2c1)c1cc(=O)n2ccsc2n1,[156442168]
O=C(NCc1cnc2cc(CNCC34CC(C3)C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156462038, 156748871]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(CCc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,[156327022]
O=c1cccc(CCC2CCC(n3ccc4cncnc43)C2)[nH]1,[156327000]
c1cc(COc2ccc3cccnc3c2)cc(-n2ccc3cncnc32)c1,"[156303979, 156304115, 156304131, 166039020, 166039047, 156304086, 166039046, 156303978, 156304114, 156303997, 156304014, 166039019, 156304079, 156303990, 156304128, 166039043, 166039006, 156303967, 156303974]"
c1cc2cc(-c3cn(Cc4cn5cc(CNCC6CCC6)ccc5n4)nn3)cnc2[nH]1,[163239129]
O=C(NCc1ccc2cc(CN3CC4CC3C4)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461717]
O=C(NCc1ccc2cc(CN3CCOCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461718]
c1ccc(CCNc2ncnc3c2ccn3C2CCC(CCc3ccc4[nH]ncc4c3)C2)cc1,[156326950]
c1ncc2ccn(C3CCC(CCc4ccc5[nH]ncc5c4)C3)c2n1,[166628698]
c1ncc2ccn(C3CCC(CCc4ccc5[nH]ccc5c4)C3)c2n1,[166626352]
O=S(Cc1cncc(-n2cc(-c3cc[nH]n3)c3cncnc32)c1)c1ccc2ccc(N3CCC3)nc2c1,[156303940]
c1cnc2cc(OCC3CCC(n4cc(-c5cn[nH]c5)c5cncnc54)O3)ccc2c1,[156326991]
c1ncc2c(C3CCCO3)cn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,"[156304052, 156304160, 156304161]"
O=c1cc[nH]c2cc(OCc3cncc(-n4cc(C5CCCC5)c5cncnc54)c3)ccc12,[156304101]
c1ccc(OCC2CCC(n3ccc4cncnc43)O2)cc1,[166636006]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5c(c4)NCCO5)c3)c2n1,[156304119]
c1cnn(-c2cn(C3CCC(CCc4ccc5scnc5c4)O3)c3ncncc23)c1,[166626166]
C(=CC1CCC(n2ccc3cncnc32)O1)CCCN1CCOCC1,[163239227]
c1cnc2cc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)ccc2c1,"[156303946, 156304037, 156304155, 156304082, 156304112, 156731597, 156731613, 156304120, 156304096, 156304042]"
O=C(NCc1cc2[nH]c(CN3CCC4(CCC4)C3)cc2cn1)c1cc(=O)n2ccccc2n1,[156442357]
c1cc(N2CCC(CNc3ccc(CN4CCCCC4)nc3)CC2)ncn1,[166627825]
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1cnc2[nH]ccc2n1,[163239141]
c1cc(CCc2ccc3ncccc3c2)cc(-n2ccc3cncnc32)c1,[166039029]
c1ncc2ccn(C3CCC(COc4ccc5ccc(NC6CCC6)nc5c4)O3)c2n1,[156326944]
O=C(c1ccc(OCC2CCC(n3ccc4cncnc43)O2)cc1)N1CCNCC1,[166632521]
c1cc(-c2cn(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)nn2)c2cncn2c1,"[156442194, 156442186]"
c1cnc2cc(OCc3cncc(-n4ccc5cncnc54)n3)ccc2c1,"[156304078, 156303989, 156303985]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5cnc(NC6CCC6)nc5c4)O3)c2n1,"[166630023, 166626424]"
O=C(NCc1ccc2cc(CN3CCCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461719, 156461835, 156461702]"
c1cnc2cc(OCC3CCC(n4ccc5cnccc54)O3)ccc2c1,[156326995]
c1cnc2cc(OCc3cncc(-n4cc(CC5CC5)c5cncnc54)c3)ccc2c1,"[156303999, 166039010]"
c1ncc2ccn(-c3cncc(COc4ccc5ccc(N6CCCC6)nc5c4)c3)c2n1,"[156304017, 156304048]"
c1nc(Cn2cc(C3CCCC4NNCC43)nn2)cc2[nH]c(CNCC3CCC3)cc12,[168489994]
O=C(NCc1cn2cc(CNCC34CC(C3)C4)ccc2n1)c1cc(=O)n2ccsc2n1,[163239154]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ccc(NC6CNC6)nc5c4)O3)c2n1,[156327154]
c1ncc2ccn(C3CCC(c4ccc5cc(CNCC67CC(C6)C7)[nH]c5c4)C3)c2n1,"[171665616, 163239333, 163239308]"
c1cc(-c2cn(Cc3ccc4cc(CNCC56CC(C5)C6)[nH]c4c3)nn2)c2cncn2c1,[156442354]
O=C(NCc1cc2[nH]c(CNCC34CC(C3)C4)cc2cn1)c1cc(=O)n2ccccc2n1,"[156461864, 156748847, 164884911]"
c1cnc2cc(CCC3CCC(n4cc(C5CCOC5)c5cncnc54)C3)ccc2c1,"[156327096, 156327032]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ocnc5c4)O3)c2n1,"[164570053, 166636244]"
c1ncc2ccn(C3CCC(CCc4ccc5scnc5c4)C3)c2n1,[166632843]
c1cc2cc(CNC3CCCC3)[nH]c2cc1Cn1cc(C2CCCC3NNCC32)nn1,"[168489990, 168489991]"
c1cc2cc(CNCC3CCC3)[nH]c2cc1Cn1cc(C2CCCC3CNNC32)nn1,[168489995]
C1=C(c2cn(C3CCC(COc4ccc5cccnc5c4)O3)c3ncncc23)CCNC1,[166631555]
c1cnc(-c2cn(Cc3cn4cc(CNCC56CC(C5)C6)ccc4n3)nn2)cn1,[163239133]
O=C(NCc1ccc2cc(CN3CCCCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156442363, 156461946, 156461940]"
c1cc2cc(CN3CC4(CCC4)C3)[nH]c2cc1Cn1cc(C2CCCC3NNCC32)nn1,[168489998]
O=C(NCc1cn2cc(CNCC3CCCCC3)ccc2n1)c1ccnc2[nH]ncc12,[163239047]
c1cnc2cc(OCc3cncc(-n4cc(C5CCCO5)c5cncnc54)c3)ccc2c1,"[156304039, 156304122, 156304152, 156304146, 156304056, 156304144, 156304111, 156304153, 166633993, 156303956, 156304148, 156304149]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ccc(C6CCC6)nc5c4)O3)c2n1,[156327135]
c1cnc2cc(OCc3cncc(-n4cc(-c5ccn[nH]5)c5cncnc54)c3)ccc2c1,[156304176]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5cnc(N6CCC6)nc5c4)c3)c2n1,[156304174]
